Point At X,Point At Y,Pressed At X,Pressed At Y,Released At X,Released At Y,Scrolled At X,Scrolled At Y
930,220,true,true,false,false,false,false
930,220,true,true,false,false,false,false
930,220,false,false,true,true,false,false
930,220,false,false,true,true,false,false
937,218,false,false,false,false,false,false
937,218,false,false,false,false,false,false
943,214,false,false,false,false,false,false
943,214,false,false,false,false,false,false
951,210,false,false,false,false,false,false
951,210,false,false,false,false,false,false
965,203,false,false,false,false,false,false
965,203,false,false,false,false,false,false
1008,177,false,false,false,false,false,false
1008,177,false,false,false,false,false,false
1058,155,false,false,false,false,false,false
1058,155,false,false,false,false,false,false
1115,132,false,false,false,false,false,false
1115,132,false,false,false,false,false,false
1172,109,false,false,false,false,false,false
1172,109,false,false,false,false,false,false
1222,88,false,false,false,false,false,false
1222,88,false,false,false,false,false,false
1279,65,false,false,false,false,false,false
1279,65,false,false,false,false,false,false
1331,39,false,false,false,false,false,false
1331,39,false,false,false,false,false,false
1380,22,false,false,false,false,false,false
1380,22,false,false,false,false,false,false
1425,1,false,false,false,false,false,false
1425,1,false,false,false,false,false,false
1446,-7,false,false,false,false,false,false
1446,-7,false,false,false,false,false,false
1457,-4,false,false,false,false,false,false
1457,-4,false,false,false,false,false,false
1468,-5,false,false,false,false,false,false
1468,-5,false,false,false,false,false,false
1477,-4,false,false,false,false,false,false
1477,-4,false,false,false,false,false,false
1484,-2,false,false,false,false,false,false
1484,-2,false,false,false,false,false,false
1490,-4,false,false,false,false,false,false
1490,-4,false,false,false,false,false,false
1498,-6,false,false,false,false,false,false
1498,-6,false,false,false,false,false,false
1506,-4,false,false,false,false,false,false
1506,-4,false,false,false,false,false,false
1515,-4,false,false,false,false,false,false
1515,-4,false,false,false,false,false,false
1520,-2,false,false,false,false,false,false
1520,-2,false,false,false,false,false,false
1524,-2,false,false,false,false,false,false
1524,-2,false,false,false,false,false,false
1527,-1,false,false,false,false,false,false
1527,-1,false,false,false,false,false,false
1530,0,false,false,false,false,false,false
1530,0,false,false,false,false,false,false
1532,-2,false,false,false,false,false,false
1532,-2,false,false,false,false,false,false
1533,0,false,false,false,false,false,false
1533,0,false,false,false,false,false,false
1534,-1,false,false,false,false,false,false
1534,-1,false,false,false,false,false,false
1536,0,false,false,false,false,false,false
1536,0,false,false,false,false,false,false
1537,0,false,false,false,false,false,false
1537,0,false,false,false,false,false,false
1537,-2,false,false,false,false,false,false
1537,-2,false,false,false,false,false,false
1539,0,false,false,false,false,false,false
1539,0,false,false,false,false,false,false
1540,0,false,false,false,false,false,false
1540,0,false,false,false,false,false,false
1540,-1,false,false,false,false,false,false
1540,-1,false,false,false,false,false,false
1542,0,false,false,false,false,false,false
1542,0,false,false,false,false,false,false
1543,-1,false,false,false,false,false,false
1543,-1,false,false,false,false,false,false
1627,-7,false,false,false,false,false,false
1627,-7,false,false,false,false,false,false
1812,-15,false,false,false,false,false,false
1812,-15,false,false,false,false,false,false
1956,-10,false,false,false,false,false,false
1956,-10,false,false,false,false,false,false
2043,-15,false,false,false,false,false,false
2043,-15,false,false,false,false,false,false
1990,-8,false,false,false,false,false,false
1990,-8,false,false,false,false,false,false
1964,-6,false,false,false,false,false,false
1964,-6,false,false,false,false,false,false
1930,-2,false,false,false,false,false,false
1930,-2,false,false,false,false,false,false
1924,-2,false,false,false,false,false,false
1924,-2,false,false,false,false,false,false
1925,-4,false,false,false,false,false,false
1925,-4,false,false,false,false,false,false
1922,0,false,false,false,false,false,false
1922,0,false,false,false,false,false,false
1923,-1,false,false,false,false,false,false
1923,-1,false,false,false,false,false,false
1920,-2,false,false,false,false,false,false
1920,-2,false,false,false,false,false,false
1920,0,false,false,false,false,false,false
1920,0,false,false,false,false,false,false
1921,0,false,false,false,false,false,false
1921,0,false,false,false,false,false,false
1919,-1,false,false,false,false,false,false
1919,-1,false,false,false,false,false,false
1919,-2,false,false,false,false,false,false
1919,-2,false,false,false,false,false,false
1919,0,true,true,false,false,false,false
1919,0,true,true,false,false,false,false
1919,0,false,false,true,true,false,false
1919,0,false,false,true,true,false,false
1918,0,false,false,false,false,false,false
1918,0,false,false,false,false,false,false
1917,0,false,false,false,false,false,false
1917,0,false,false,false,false,false,false
1916,0,false,false,false,false,false,false
1916,0,false,false,false,false,false,false
1914,0,false,false,false,false,false,false
1914,0,false,false,false,false,false,false
1913,0,false,false,false,false,false,false
1913,0,false,false,false,false,false,false
1911,0,false,false,false,false,false,false
1911,0,false,false,false,false,false,false
1910,0,false,false,false,false,false,false
1910,0,false,false,false,false,false,false
1908,0,false,false,false,false,false,false
1908,0,false,false,false,false,false,false
1908,0,true,true,false,false,false,false
1908,0,true,true,false,false,false,false
1908,0,false,false,true,true,false,false
1908,0,false,false,true,true,false,false
1836,37,false,false,false,false,false,false
1836,37,false,false,false,false,false,false
1691,105,false,false,false,false,false,false
1691,105,false,false,false,false,false,false
1591,157,false,false,false,false,false,false
1591,157,false,false,false,false,false,false
1506,197,false,false,false,false,false,false
1506,197,false,false,false,false,false,false
1442,225,false,false,false,false,false,false
1442,225,false,false,false,false,false,false
1379,249,false,false,false,false,false,false
1379,249,false,false,false,false,false,false
1321,276,false,false,false,false,false,false
1321,276,false,false,false,false,false,false
1278,292,false,false,false,false,false,false
1278,292,false,false,false,false,false,false
1260,302,false,false,false,false,false,false
1260,302,false,false,false,false,false,false
1249,307,false,false,false,false,false,false
1249,307,false,false,false,false,false,false
